pmid,title,year,journal,doi,content_sha256,drive_file_id,drive_filename_citation,metadata_patched
local_4b031d44,Detecting Developmental Delay and Autism Through Machine,2019,,10.2196/13822,9cd07afa733627db34032b48093477b4d8c7a0f962df13cbbdfb14f92af30263,1oM7twVpOEtmmMng1gyJYqYpg5tTpzs4L,"Tariq, Q., Fleming, S. L., Schwartz, J. N., Dunlap, K., Corbin, C., Washington, P., Kalantarian, H., Khan, N. Z., Darmstadt, G. L., & Wall, D. P. (2019). Detecting Developmental Delay and Autism Through Machine Learning Models Using Home Videos of Bangladeshi Children: Development and Validation Study. Journal of Medical Internet Research, 21(4), Article e13822. https://doi.org/10.2196/13822",doi_filled
local_05ef29e5,Exploiting Visual Behaviour for Autism Spectrum Disorder Identification,2019,2019 IEEE International Conference on Multimedia & Expo Workshops (ICMEW),10.1109/icmew.2019.00123,41e3160b6c48b904fc774b0412092bb0441c7cd8e1e203b2481ce1b20709b8f6,15j-hmUh2_dd-OcdQH9mr4e3SeoBMoR5n,"Arru, G., Mazumdar, P., & Battisti, F. (2019). Exploiting visual behaviour for autism spectrum disorder identification. In 2019 IEEE International Conference on Multimedia & Expo Workshops (ICMEW) (pp. 637-640). IEEE. https://doi.org/10.1109/icmew.2019.00123",doi_filled
local_9528024b,Hierarchical POMDP Framework for a Robot-Assisted ASD Diagnostic Protocol,2019,2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI). IEEE,10.1109/hri.2019.8673295,34e23848c43dcd2b6f07b56d9cf6be71ee18620d4c6b19f0361c8b61cf13c8d6,1pJiCzWRNk9OkGxV6NTo7fTLzITxWH1p2,"Petric, F., & Kovacic, Z. (2019). Hierarchical POMDP Framework for a Robot-Assisted ASD Diagnostic Protocol. In 2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI). IEEE. https://doi.org/10.1109/hri.2019.8673295",doi_filled
local_6230fe22,Intelligent Gaze-Based Screening System for Autism,2019,2019 2nd International Conference on Computer Applications & Information Security (ICCAIS),10.1109/cais.2019.8769452,116fe31a4ca77cad425a7a5eda1fab1b1adb277efb27970f773622f8123fe18e,1Y3Z6RFLHvH4AtlM2OnH4w5nqKRNdIksF,"Dris, A. B., Alsalman, A., Al-Wabil, A., & Aldosari, M. (2019). Intelligent Gaze-Based Screening System for Autism. In 2019 2nd International Conference on Computer Applications & Information Security (ICCAIS) (pp. 1-5). IEEE. https://doi.org/10.1109/cais.2019.8769452",doi_filled
local_785ba418,Kinematic features of a simple and short movement task to predict autism diagnosis,2019,2019 41st Annual International Conference of the IEEE Engineering i,10.1109/embc.2019.8857307,aa11666688c21c389091b19727d847c285c1e814f41d2b5b4711be8d3859a3fb,1nhL1Z2hJSAdJJDQRIzhYG6SKZ9aBGsNp,"Vabalas, A., Gowen, E., Poliakoff, E., & Casson, A. J. (2019). Kinematic features of a simple and short movement task to predict autism diagnosis. In 2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC) (pp. 1421-1424). IEEE. https://doi.org/10.1109/embc.2019.8857307",doi_filled
local_fea042be,Learning to Predict Autism Spectrum Disorder based on the Visual,2019,Proceedings of the 12th In,10.5220/0007402601030112,6f327e3d693f72c8c46b7b6a905faec71007e3ac3f60fbf46ede7dab19f797c9,1sqEp-cUF46zTDydHKsDpHTPZud3ycJFD,"Carette, R., Elbattah, M., Cilia, F., Dequen, G., Guérin, J. L., & Bosche, J. (2019). Learning to predict autism spectrum disorder based on the visual patterns of eye-tracking scanpaths. In Proceedings of the 12th International Joint Conference on Biomedical Engineering Systems and Technologies (pp. 103-112). SCITEPRESS - Science and Technology Publications. https://doi.org/10.5220/0007402601030112",doi_filled
local_ba5fbda7,Machine Learning to Study Social Interaction Difficulties in ASD,2019,"Frontiers in Robotics and AI, 6, Article 132",10.3389/frobt.2019.00132,afe1123d7949ea28c66e14a37f03c524a1fbdc0687ce0ec8a61975efe95212f3,1AS3HNb742XL_G-bOubJw5E7E0z7fXMyP,"Georgescu, A. L., Koehler, J. C., Weiske, J., Vogeley, K., Koutsouleris, N., & Falter-Wagner, C. (2019). Machine Learning to Study Social Interaction Difficulties in ASD. Frontiers in Robotics and AI, 6, Article 132. https://doi.org/10.3389/frobt.2019.00132",
local_7b468950,Phase 3 diagnostic evaluation of a smart,2019,,10.1136/bmjopen-2018-026226,4b50806424e87ec7b2ef2e9ab64bd8c09831b04a1dd4741cf31bc9d678bee8f2,1XMbRp7B369BZ_tq9gVazvs0wAV1C_UKj,"Millar, L., McConnachie, A., Minnis, H., Wilson, P., Thompson, L., Anzulewicz, A., Sobota, K., Rowe, P., Gillberg, C., & Delafield-Butt, J. (2019). Phase 3 diagnostic evaluation of a smart tablet serious game to identify autism in 760 children 3-5 years old in Sweden and the United Kingdom. BMJ Open, 9(7), Article e026226. https://doi.org/10.1136/bmjopen-2018-026226",
local_309e5baa,Predicting Autism Diagnosis using Image with Fixations and Synthetic Saccade Patterns,2019,2019 IEEE International Conference on Multimedia & Expo,10.1109/icmew.2019.00125,e589c80bcd1c6e6b3a92747cd33261abe9c4cc2ffbd56b1369c157379574c57e,1Plr_9v_be3pAdPvWNJ-HS24DgAHcnYEN,"Wu, C., Liaqat, S., Cheung, S. C., Chuah, C. N., & Ozonoff, S. (2019). PREDICTING AUTISM DIAGNOSIS USING IMAGE WITH FIXATIONS AND SYNTHETIC SACCADE PATTERNS. In 2019 IEEE International Conference on Multimedia & Expo Workshops (ICMEW) (pp. 647-650). IEEE. https://doi.org/10.1109/icmew.2019.00125",doi_filled
local_a45f39e9,Recognition Of Atypical Behavior In Autism Diagnosis From Video Using Pose Estimation Over Time,2019,2019 IEEE,10.1109/mlsp.2019.8918863,7ea84393661f9ffc862b291380bc08bece21541531049ee156cb3519d00673cf,1THryNZ8s8F_7N-5LZsQFMGwQ7Rf4xLjH,"Vyas, K., Ma, R., Rezaei, B., Liu, S., Neubauer, M., Ploetz, T., Oberleitner, R., & Ostadabbas, S. (2019). Recognition of Atypical Behavior in Autism Diagnosis from Video Using Pose Estimation over Time. In 2019 IEEE 29th International Workshop on Machine Learning for Signal Processing (MLSP) (pp. 1-6). IEEE. https://doi.org/10.1109/mlsp.2019.8918863",doi_filled
local_d587f9cd,Robot-Assisted Autism Spectrum Disorder Diagnostic Based on Artificial Reasoning,2019,"Journal of Intelligent & Robotic Systems, 96(2), 267-281",10.1007/s10846-018-00975-y,f5232be20d78b407191d4c2781e21f3643919a28c0b67ee9955ed47f9bae2f77,1bxvSIV0283HK7wma7HHqg9SzrQ4VqTDd,"Ramírez-Duque, A. A., Frizera-Neto, A., & Bastos, T. F. (2019). Robot-Assisted Autism Spectrum Disorder Diagnostic Based on Artificial Reasoning. Journal of Intelligent & Robotic Systems, 96(2), 267-281. https://doi.org/10.1007/s10846-018-00975-y",
local_08b8027d,SP-ASDNet: CNN-LSTM Based ASD Classification Model using Observer ScanPaths,2019,2019 IEEE International Conference on Multimedia & Expo Workshops (ICMEW),10.1109/icmew.2019.00124,a280217cf10b1a9857820413d6864aedaf3869042d39e78185f1c14baac44c66,1Wo8xFBwKcntVif4qqpBRkNmPfghdNypJ,"Tao, Y., & Shyu, M. L. (2019). SP-ASDNet: CNN-LSTM based ASD classification model using observer scanpaths. In 2019 IEEE International Conference on Multimedia & Expo Workshops (ICMEW) (pp. 641-646). IEEE. https://doi.org/10.1109/icmew.2019.00124",doi_filled
local_c6f1209b,Social robot in diagnosis of autism among preschool children,2019,2019 24th International Conference on Methods and Models in Automation and Robotic,10.1109/mmar.2019.8864666,d8452517614595c3e466207030922274529c7d50f94abc259f5bdf483fefbdc5,1sLrBA-Dchyl2AVWhHVjwKW0qW7exe6oF,"Arent, K., Kruk-Lasocka, J., Niemiec, T., & Szczepanowski, R. (2019). Social robot in diagnosis of autism among preschool children. In 2019 24th International Conference on Methods and Models in Automation and Robotics (MMAR) (pp. 652-656). IEEE. https://doi.org/10.1109/mmar.2019.8864666",doi_filled
local_83b99e73,Application of the Still-Face Paradigm in Early Screening for High-Risk Autism Spectrum Disorder in Infants and Toddlers,2020,,10.3389/fped.2020.00290,f62d9bb1bca14be7221e9d2a03cdabd41efe066971510bef2d14c8ab9f0edfa5,1uiu3v43O-TUg5f9rrVMLYCgt6MToFN2-,"Qiu, N., Tang, C., Zhai, M., Huang, W., Weng, J., Li, C., Xiao, X., Fu, J., Zhang, L., Xiao, T., Fang, H., & Ke, X. (2020). Application of the Still-Face Paradigm in Early Screening for High-Risk Autism Spectrum Disorder in Infants and Toddlers. Frontiers in Pediatrics, 8, Article 290. https://doi.org/10.3389/fped.2020.00290",
local_638860ef,Applying Machine Learning to Kinematic and Eye Movement Features of a Movement Imitation Task to Predict Autism Diagnosis,2020,"Scientific Reports, 10(1), Arti",10.1038/s41598-020-65384-4,2ff564489f33d803fb093ba67e6e04afa65f31b7f8f9db50acecb76c46d68b51,1u0slG4Pe58q74I7JL8MMPBvbG2cVPiML,"Vabalas, A., Gowen, E., Poliakoff, E., & Casson, A. J. (2020). Applying Machine Learning to Kinematic and Eye Movement Features of a Movement Imitation Task to Predict Autism Diagnosis. Scientific Reports, 10(1), Article 8346. https://doi.org/10.1038/s41598-020-65384-4",
local_7547db68,Research and Design of Autism Smart Diagnosis Information System Based on Chinese Children's Facial Expression Data and Deep Convolution Neural Network,2020,Proceedings of the 53rd Hawaii International Conference on System Sciences,10.24251/hicss.2020.406,6cd4d2bddc66dbf61e030d14aaf8f8f8a21e7627241698ac0da92c2aa702936d,18P3JM2LmHUQNni6_a8eSWMaCCUMwfBrf,"Zhao, W. (2020). Research and design of autism smart diagnosis information system based on Chinese children's facial expression data and deep convolution neural network. In Proceedings of the Annual Hawaii International Conference on System Sciences. Hawaii International Conference on System Sciences. https://doi.org/10.24251/hicss.2020.406",doi_filled
local_878c259f,Automated identification of postural control for children with autism spectrum disorder using a machine learning approach,2020,"Journal of Biomechanics, 113, 110073",10.1016/j.jbiomech.2020.110073,6d43bb51e35661b77cc6acbd429617dd3d6f474475c059981299fc3974fcb78c,1nHjRAMbJuofuU1YYYkak8YbaEVEhp3H9,"Li, Y., Mache, M. A., & Todd, T. A. (2020). Automated identification of postural control for children with autism spectrum disorder using a machine learning approach. Journal of Biomechanics, 113, 110073. https://doi.org/10.1016/j.jbiomech.2020.110073.pdf.pdf",doi_filled
local_1579c85a,Behavior-based Risk Detection of Autism Spectrum Disorder Through,2020,Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction (pp,10.1145/3371382.3378382,a5486655b97ee827eb87571d1e7d9d10a9a88b7494c96de7c4debea8ac7761ce,1wEAeagMNjoGiY1sXojzgWItMpVqu6qCK,"Javed, H., & Park, C. H. (2020). Behavior-based risk detection of autism spectrum disorder through child-robot interaction. In Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction (pp. 275-277). ACM. https://doi.org/10.1145/3371382.3378382",
local_157d6266,Computerized Assessment of Motor Imitation as a Scalable Method for Distinguishing Children With Autism,2020,,10.1016/j.bpsc.2020.09.001,a80f3eba082c2df52a6b8fc4b5c07459477e7acdefb94e6badd761c3fb9e3fce,1oKxWwZ1PJEgcGg9XPhVYiIXhXPZjlmc9,"Tunçgenç, B., Pacheco, C., Rochowiak, R., Nicholas, R., Rengarajan, S., Zou, E., Messenger, B., Vidal, R., & Mostofsky, S. H. (2020). Computerized Assessment of Motor Imitation as a Scalable Method for Distinguishing Children With Autism. Biological Psychiatry: Cognitive Neuroscience and Neuroimaging, 6(3), 321-328. https://doi.org/10.1016/j.bpsc.2020.09.001",
local_8be557e3,Deep-Learning-Based Detection of Infants with Autism Spectrum Disorder Using Auto-Encoder Feature Representation,2020,"Sensors, 20(23), Article 6762. https",10.3390/s20236762,2bbb8a1e5673f4f1f06adfdf38c37a9273865753ddf67b2eaf6216c2967d832b,1CFADx-FG53k-g4-3gos5gGAQj05MuBDH,"Lee, J. H., Lee, G. W., Bong, G., Yoo, H. J., & Kim, H. K. (2020). Deep-Learning-Based Detection of Infants with Autism Spectrum Disorder Using Auto-Encoder Feature Representation. Sensors, 20(23), Article 6762. https://doi.org/10.3390/s20236762",doi_filled
local_c79e100a,Effects of Intra-Subject Variation in Gait Analysis on ASD Classification Performance in Machine Learning Models,2020,,10.1109/issc49989.2020.9180201,fae152e743e7b69478410fe173b8ca79aa3d5f83fe00d97fa78e2d5358318bd7,1bDX6yfKKjFfeQ3CZZYbCJpHWG4It3rKX,"Henderson, B., Yogarajah, P., Gardiner, B., McGinnity, M., Forster, K., Nicholas, B., Wimpory, D., & Wanigasinghe, J. (2020). Effects of Intra-Subject Variation in Gait Analysis on ASD Classification Performance in Machine Learning Models. In 2020 31st Irish Signals and Systems Conference (ISSC) (pp. 1-6). IEEE. https://doi.org/10.1109/issc49989.2020.9180201",doi_filled
local_4fecbf6d,Estimating Autism Severity in Young Children From Speech Signals Using a Deep Neural Network,2020,"IEEE Access, 8, 139489-139500",10.1109/access.2020.3012532,1fc7ec4b4be2a1a350c8b2b96c8bc502ed1aad48a147f3247f73d54f8d2a8d2f,1pTcVUgLIAUDBWN4aVuirVW37gc7fovMA,"Eni, M., Dinstein, I., Ilan, M., Menashe, I., Meiri, G., & Zigel, Y. (2020). Estimating Autism Severity in Young Children from Speech Signals Using a Deep Neural Network. IEEE Access, 8, 139489-139500. https://doi.org/10.1109/access.2020.3012532",doi_filled
local_95abe653,Detecting High-Functioning Autism in Adults Using Eye Tracking and Machine Learning,2020,"IEEE Transactions on Neural Systems and Rehabilitation Engineering, 28(6), 1254-1261",10.1109/TNSRE.2020.2991675,e9a2ae83765627c17a585dc0f21d69fcf49092f5c5a9b968e2f031fc95e4ccbc,1H6Rh9vvB6b9GXFurUKEAvHj0wxK1sNsL,"Yaneva, V., Ha, L. A., Eraslan, S., Yesilada, Y., & Mitkov, R. (2020). Detecting High-Functioning Autism in Adults Using Eye Tracking and Machine Learning. IEEE Transactions on Neural Systems and Rehabilitation Engineering, 28(6), 1254-1261. https://doi.org/10.1109/tnsre.2020.2991675",
local_40168c96,Identification of Autism Spectrum Disorder via an Eye-Tracking Based,2020,2020 7th International Conference on Bioinformatics Research and Appli,10.1145/3440067.3440078,e357d999063105abd8af813380942a7bf3c668717dd7554be51513b6a0576895,1P3Ojj0rGG8ziiIfa-hzRzCfas75bTIbu,"Xia, C., Chen, K., Li, K., & Li, H. (2020). Identification of autism spectrum disorder via an eye-tracking based representation learning model. In 2020 7th International Conference on Bioinformatics Research and Applications (pp. 59-65). ACM. https://doi.org/10.1145/3440067.3440078",
local_d3852378,Machine Learning and Virtual Reality on Body Movements' Behaviors to Classify Children with Autism Spectrum Disorder,2020,"Journal of Clinical Medicine, 9(5), 1260",10.3390/jcm9051260,04c66ff1bad5a012a2c3dc21e9695865fb02febccc252f74b50a6931c8dddf0d,1rU0CIAZRZI8VAYHVUu1aAprFDOKdi4Ib,"Alcañiz Raya, M., Marín-Morales, J., Minissi, M. E., Teruel Garcia, G., Abad, L., & Chicchi Giglioli, I. A. (2020). Machine Learning and Virtual Reality on Body Movements' Behaviors to Classify Children with Autism Spectrum Disorder. Journal of Clinical Medicine, 9(5), Article 1260. https://doi.org/10.3390/jcm9051260",
local_df438dd2,Responsive Social Smile: A Machine-Learning Based Multimodal Behavior Assessment Framework towards Early Stage Autism Screening,2020,"Proceedings of the 25th International Conference on Pattern Recognition (ICPR), 2240-2245",10.1109/ICPR48806.2021.9412766,fa4a2351c8fb9cc19845d72a47bd27aaffb52a1c27e777feeff925c50a2cc530,125Gj2NITDck0RGF0Z9tfamtsDongbqne,"Pan, Y., Cai, K., Cheng, M., Zou, X., & Li, M. (2020). Responsive social smile: A machine learning based multimodal behavior assessment framework towards early stage autism screening. In 2020 25th International Conference on Pattern Recognition (ICPR) (pp. 2240-2247). IEEE. https://doi.org/10.1109/icpr48806.2021.9412766",
local_cd9e45eb,Selection of Eye-Tracking Stimuli for Prediction by Sparsely Grouped Input Variables for Neural Networks: towards Biomarker Refinement for Autism,2020,ETRA '20 Full Papers: ACM Symposium on Eye Tracking Research and Applications,10.1145/3379155.3391334,086b3322d5327c84bbee49ee463f407764b1395eb763d3d34e91e0df87f7a5b8,1Bsq40Z5bD9VmR9P33GeGvh12glp0xa0O,"Li, B., Barney, E., Hudac, C., Nuechterlein, N., Ventola, P., Shapiro, L., & Shic, F. (2020). Selection of eye-tracking stimuli for prediction by sparsely grouped input variables for neural networks: Towards biomarker refinement for autism. In ACM Symposium on Eye Tracking Research and Applications (pp. 1-8). ACM. https://doi.org/10.1145/3379155.3391334",
local_56237213,The identification of children with autism spectrum disorder by SVM approach on EEG and eye-tracking data,2020,"Computers in Biology and Medicine, 120, Article 103722",10.1016/j.compbiomed.2020.103722,5e27fc69a619686f333a9d50cb041bd00abb5a7eb25ae932ae607ac0849ce9e9,1FwI6ng65LeuVl6MDvN_YHm-pOCeKp-c2,"Kang, J., Han, X., Song, J., Niu, Z., & Li, X. (2020). The identification of children with autism spectrum disorder by SVM approach on EEG and eye-tracking data. Computers in Biology and Medicine, 120, Article 103722. https://doi.org/10.1016/j.compbiomed.2020.103722",doi_filled
local_f9a5195f,Toward Continuous Social Phenotyping: Analyzing Gaze Patterns in an Emotion Recognition Task for Children With Autism Through Wearable Smart Glasses,2020,"Journal of Medical Internet Research, 22(4), e13810",10.2196/13810,caf0682c9b4b100f81a388d217ef473bb900d7a4776f90a56f15da00266d45e1,1SqoV530KFsdvMCnMdbXLuVk-iu3b1WMr,"Nag, A., Haber, N., Voss, C., Tamura, S., Daniels, J., Ma, J., Chiang, B., Ramachandran, S., Schwartz, J., Winograd, T., Feinstein, C., & Wall, D. P. (2020). Toward Continuous Social Phenotyping: Analyzing Gaze Patterns in an Emotion Recognition Task for Children With Autism Through Wearable Smart Glasses. Journal of Medical Internet Research, 22(4), Article e13810. https://doi.org/10.2196/13810",
local_16a77fb0,Towards the automatic detection of social biomarkers in autism spectrum disorder: introducing the simulated interaction task (SIT),2020,,10.1038/s41746-020-0227-5,a8de15a20349c4d7b247f315f61cf2cd0008bb5e9566d31322f4f81f4c5fd864,1vPcDDLpSS1VKIgBXqAFoHpDVghdvz4Gj,"Drimalla, H., Scheffer, T., Landwehr, N., Baskow, I., Roepke, S., Behnia, B., & Dziobek, I. (2020). Towards the automatic detection of social biomarkers in autism spectrum disorder: introducing the simulated interaction task (SIT). npj Digital Medicine, 3(1), Article 25. https://doi.org/10.1038/s41746-020-0227-5",
local_9c4af7a3,Utilizing Artificial Intelligence to Diagnose Autism Spectrum Disorder Based on Eye Tracking Saccades,2020,2020 IEEE MIT Undergraduate Research Technology Conference (URTC),10.1109/urtc51696.2020.9668883,1612e1e2c275757db3ec0fea542ccb4efc7df5104e13d0bc69da7b20720a24ca,1STf18QU0Xo_xfz4evjh7WVC5AExsLHna,"Dinesh, A. (2020). Utilizing Artificial Intelligence to Diagnose Autism Spectrum Disorder Based on Eye Tracking Saccades. In 2020 IEEE MIT Undergraduate Research Technology Conference (URTC) (pp. 1-4). IEEE. https://doi.org/10.1109/urtc51696.2020.9668883",doi_filled
local_b70dae32,An Experimental Trial: Multi-Robot Therapy for Categorization of Autism Level Using Hidden Markov Model,2021,Journal of Educational Computing Resea,10.1177/07356331211040405,cc264478aa3012c96fb0f553d6ac83082e3c0a367cca23d2500e04ecfd185060,1Ph-X5q0O42deMVh81jw7QSkqXiYY4xEH,"Ali, S., Mehmood, F., Ayaz, Y., Sajid, M., Sadia, H., & Nawaz, R. (2021). An Experimental Trial: Multi-Robot Therapy for Categorization of Autism Level Using Hidden Markov Model. Journal of Educational Computing Research, 60(3), 722-741. https://doi.org/10.1177/07356331211040405",
local_51a0af74,Autism Spectrum Disorder Diagnosis Based on Trajectories of Eye Tracking Data,2021,"2021 IEEE 34th International Symposium on Computer-Based Medical Systems (CBMS), 50-55",10.1109/CBMS52027.2021.00016,52fd001c85bbaffcc8d27ed9dc3b6bcd1f3d73ea980a6fc92930fc1731dc3dec,1-Q5pi2vC2LAw-y7m7QvtmSK2z6JRwZuf,"Cardoso, T. V., Michelassi, G. C., Franco, F. O., Sumiya, F. M., Portolese, J., Brentani, H., Machado-Lima, A., & Nunes, F. L. S. (2021). Autism spectrum disorder diagnosis based on trajectories of eye tracking data. In 2021 IEEE 34th International Symposium on Computer-Based Medical Systems (CBMS) (pp. 50-55). IEEE. https://doi.org/10.1109/cbms52027.2021.00016",
local_d8d3037b,Autistic spectrum traits detection and early screening: A machine learning based eye movement study,2021,"Journal of Child and Adolescent Psychiatric Nursing, 35",10.1111/jcap.12346,e273cc030ef9c05609709d5ee20190de608577a0cf15c8cef07b201dbe397d8c,13geaP2yFdJqvuKwff_ryFSvgntWprwWg,"Lin, Y., Gu, Y., Xu, Y., Hou, S., Ding, R., & Ni, S. (2021). Autistic spectrum traits detection and early screening: A machine learning based eye movement study. Journal of Child and Adolescent Psychiatric Nursing, 35(1), 83-92. https://doi.org/10.1111/jcap.12346",
local_991fe435,Automatic classification of children with autism spectrum disorder by using a computerized visual‐orienting task,2021,"PsyCh Journal, 10(4), 550-565",10.1002/pchj.447,9ff4976dd6bec7d6f2a8af4a36357787073c524c0ec4dceb72d323637464eab9,1U-HxXjGUTKfoQxj1-44IFaZUxTzLbe6I,"He, Q., Wang, Q., Wu, Y., Yi, L., & Wei, K. (2021). Automatic classification of children with autism spectrum disorder by using a computerized visual-orienting task. PsyCh Journal, 10(4), 550-565. https://doi.org/10.1002/pchj.447",doi_filled
local_8692a64f,Auxiliary Diagnostic Method for Early Autism Spectrum Disorder Based on Eye Movement Data Analysis,2021,2021 IEEE 7th International Conference on Cloud Computing and Intelligen,10.1109/ccis53392.2021.9754665,dca819fa75d79ee0d25c89e80e15fa67bf669906d8c17a3569c5c0b32ed9804e,1OC_kcVL4PeWaDXnmWs3Omo4RVWIIEgO2,"Fang, H., Fan, L., & Hwang, J. N. (2021). Auxiliary Diagnostic Method for Early Autism Spectrum Disorder Based on Eye Movement Data Analysis. In 2021 IEEE 7th International Conference on Cloud Computing and Intelligent Systems (CCIS) (pp. 72-77). IEEE. https://doi.org/10.1109/ccis53392.2021.9754665",doi_filled
local_4d6fac7e,Children ASD Evaluation Through Joint Analysis of EEG and Eye-Tracking Recordings With Graph Convolution Network,2021,"Frontiers in Human Neuroscience, 15, Article 651349",10.3389/fnhum.2021.651349,ec8d882da2b30ed4e13868b5d5b3cd4298455a8aba43b1f6e28205818942127a,1vW47B-iT8N5bXmhKkh00V-o-m2EPom50,"Zhang, S., Chen, D., Tang, Y., & Zhang, L. (2021). Children ASD Evaluation Through Joint Analysis of EEG and Eye-Tracking Recordings With Graph Convolution Network. Frontiers in Human Neuroscience, 15, Article 651349. https://doi.org/10.3389/fnhum.2021.651349",
local_30c622f2,Classification of Autism Spectrum Disorder Severity Using Eye Tracking Data Based on Visual Attention Model,2021,"2021 IEEE 34th International Symposium on Computer-Based Medical Systems (CBMS), 142-147",10.1109/CBMS52027.2021.00062,40cc57646c60d06e8cbc98e5e64ae7f01c09053a13622d56e826d9112b7f1958,1XcaE-0eE8b8MVWJe0yuNMjO-Qx2pfPxB,"Revers, M. C., Oliveira, J. S., Franco, F. O., Portolese, J., Cardoso, T. V., Silva, A. F., Machado-Lima, A., Nunes, F. L. S., & Brentani, H. (2021). Classification of autism spectrum disorder severity using eye tracking data based on visual attention model. In 2021 IEEE 34th International Symposium on Computer-Based Medical Systems (CBMS) (pp. 142-147). IEEE. https://doi.org/10.1109/cbms52027.2021.00062",
local_bfc088c7,Classification of Children With Autism and Typical Development Using Eye-Tracking Data From Face-to-Face Conversations: Machine Learning Model Development and Performance Evaluation,2021,"Journal of Medical Internet Research, 23(8), e29328",10.2196/29328,51b52bd3f600b960b04af7b66f26b20b30c754300569d06f22f94b69d5d2acd0,1tof_95nZeac61StFysKOwfSr16Xf93dR,"Zhao, Z., Tang, H., Zhang, X., Qu, X., Hu, X., & Lu, J. (2021). Classification of Children With Autism and Typical Development Using Eye-Tracking Data From Face-to-Face Conversations: Machine Learning Model Development and Performance Evaluation. Journal of Medical Internet Research, 23(8), Article e29328. https://doi.org/10.2196/29328",
local_25e34bbd,Combined Signal Processing Based Techniques and Feed Forward Neural Networks for Pathological Voice Detection and Classification,2021,"Sound&Vibration, 55(2), 141-161",10.32604/sv.2021.011734,85a98c5349c45139b4cc83186fdb06353bbe01ba89ee9d39b83853e3f459cc9c,1Zu63aVTVtNvADHCV7NGvUW3hJD5qL59o,"Jayasree, T., & Shia, S. (2021). Combined signal processing based techniques and feed forward neural networks for pathological voice detection and classification. Sound&Vibration, 55(2), 141-161. https://doi.org/10.32604/sv.2021.011734",doi_filled
local_4917150c,Computer-Aided Screening of Autism Spectrum Disorder: Eye-Tracking Study Using Data Visualization and Deep Learning,2021,"JMIR Human Factors, 8(4), e27706",10.2196/27706,e7cf9426ff25732f818aa8fcf9763a4d473c093f8481e1a2c7219b4b4950123d,1VssgPFp39rlveQmb3cPUt1EuiatCigvD,"Cilia, F., Carette, R., Elbattah, M., Dequen, G., Guérin, J. L., Bosche, J., Vandromme, L., & Le Driant, B. (2021). Computer-Aided Screening of Autism Spectrum Disorder: Eye-Tracking Study Using Data Visualization and Deep Learning. JMIR Human Factors, 8(4), Article e27706. https://doi.org/10.2196/27706",
local_241ec2c2,Computer-aided autism diagnosis based on visual attention models using eye tracking,2021,"Scientific Reports, 11, 10131",10.1038/s41598-021-89023-8,f5a944edb5097754ac15446ff12b60e9f49cdcb2db0925446f0e14bb657a6454,12rz9mcJ_VPJaV6UZFGbADe1lSKfXLb6F,"Oliveira, J. S., Franco, F. O., Revers, M. C., Silva, A. F., Portolese, J., Brentani, H., Machado-Lima, A., & Nunes, F. L. S. (2021). Computer-aided autism diagnosis based on visual attention models using eye tracking. Scientific Reports, 11(1), Article 10131. https://doi.org/10.1038/s41598-021-89023-8",
local_36617ec5,Eye gaze as a biomarker in the recognition of autism spectrum disorder using virtual reality and machine learning: A proof of concept for diagnosis,2021,"Autism Research, 15(1), 131-145",10.1002/aur.2636,dbb3db0511f56ff0f948aa4e70105febafe1a869078f212ce90a3ffff8a2fc0a,144a56v39lR6k25xtQCKcwboqJB9achAK,"Alcañiz, M., Chicchi‐Giglioli, I. A., Carrasco‐Ribelles, L. A., Marín‐Morales, J., Minissi, M. E., Teruel‐García, G., Sirera, M., & Abad, L. (2021). Eye gaze as a biomarker in the recognition of autism spectrum disorder using virtual reality and machine learning: A proof of concept for diagnosis. Autism Research, 15(1), 131-145. https://doi.org/10.1002/aur.2636",
local_d8e804d6,Identifying Autism with Head Movement Features by Implementing Machine Learning Algorithms,2021,Journal of Autism and Developmental Disord,10.1007/s10803-021-05179-2,c50702bb8e187d973a87a2431e7b6167efc5c42bfc8217fc06b950e797f9a80c,1CeUBkq4BnSUx65fAU30c3kSQEoR7SIvJ,"Zhao, Z., Zhu, Z., Zhang, X., Tang, H., Xing, J., Hu, X., Lu, J., & Qu, X. (2021). Identifying Autism with Head Movement Features by Implementing Machine Learning Algorithms. Journal of Autism and Developmental Disorders, 52(7), 3038-3049. https://doi.org/10.1007/s10803-021-05179-2",
local_712542ca,Machine Learning Model To Predict Autism Investigating Eye-Tracking Dataset,2021,"2021 2nd International Conference on Robotics, Electrical and Sign",10.1109/ICREST51555.2021.9331152,a85cc0ced71f29e580299145b0034001870dfbe06e8c0b7697b7930bf594900a,1NzFXGdZsuvOFg07R6neqnobZn7GWGb5q,"Akter, T., Ali, M. H., Khan, M. I., Satu, M. S., & Moni, M. A. (2021). Machine Learning Model to Predict Autism Investigating Eye-Tracking Dataset. In 2021 2nd International Conference on Robotics, Electrical and Signal Processing Techniques (ICREST) (pp. 383-387). IEEE. https://doi.org/10.1109/icrest51555.2021.9331152",
