pmid,title,year,journal,doi,content_sha256,drive_file_id,drive_filename_citation,metadata_patched
local_24fefc5f,A novel hybrid deep learning model using MEResNext for autism spectrum disorder detection,2026,"Computational Biology and Chemistry, 120, Article 108619",10.1016/j.compbiolchem.2025.108619,2af5176d1e8c4aa25037691f8429b82b1e478a41e5122cc6ea4d82feeba3f5d2,1YtKOrI5GmAi3cy0cq0NOm2X_3T9GR5ir,"Rai, S. (2026). A novel hybrid deep learning model using MEResNext for autism spectrum disorder detection. Computational Biology and Chemistry, 120, Article 108619. https://doi.org/10.1016/j.compbiolchem.2025.108619",
local_69b10fe4,An assessment of autistic and parkinsonian movement profiles to inform selective classification algorithms,2026,Journal of Neurodevelopmental,10.1186/s11689-025-09668-8,e84a8cca66f22b7729fc75aefa22ccda68c477e56f09c8e7d92827f2cf6f947e,1zPsVIFZipLx_44w6yf3INbZGDmxOAr0F,"Hickman, L. J., Fraser, D. S., Galea, J. M., Happé, F., & Cook, J. L. (2026). An assessment of autistic and parkinsonian movement profiles to inform selective classification algorithms. Journal of Neurodevelopmental Disorders, 18(1), Article 8. https://doi.org/10.1186/s11689-025-09668-8",
local_af9f4c12,An explainable deep learning framework for screening level autism severity using behavioural data,2026,"Discover Applied Sciences, 8(4), Article 363",10.1007/s42452-026-08352-3,dea44c4b3d2b7a57b0c7b902b1fdf0c864477ce455ce804c011dc6d24ac8bdb4,14hj-czLmHJ5P1mfTOWyi2Ih_xnPx2BMe,"Rathod, V. N., Goudar, R. H., & Sangani, S. (2026). An explainable deep learning framework for screening level autism severity using behavioural data. Discover Applied Sciences, 8(4), Article 363. https://doi.org/10.1007/s42452-026-08352-3",
local_367db0b6,An explainable machine unlearning algorithm framework for early detection of autism spectrum disorder and brain disabilities in newborns,2026,,10.1016/j.aej.2026.04.002,4b1f80a887eb6b376b217f3bf220c6bfcf9be5d10b6167f98ddc4ea1c8849eb6,12M-oJLXVZ_H3D0FiQEpu7AJRxBbCGzPT,"Lakhan, A., Mohammed, M. A., Hamouda, H., Thaljaoui, A., Baslem, A., & Al-Andoli, M. N. (2026). An explainable machine unlearning algorithm framework for early detection of autism spectrum disorder and brain disabilities in newborns. Alexandria Engineering Journal, 145, 164-181. https://doi.org/10.1016/j.aej.2026.04.002",doi_filled
local_8d43288c,Deep learning based approach for Behavior classification in diagnoses of Autism Spectrum Disorder using naturalistic videos,2026,Frontiers in Computational Neuroscience,10.3389/fncom.2026.1626315,521baf3c9ba2341b052beb6913a17b222568875dffcb473887565152dceccd71,11WmuyDUzoquYFk1e0R4MOiFwXHJKZCHM,"Jabbar, U., Waseem Iqbal, M., Nechifor, A., Abaker, M., Khairalseed, M. A., Antohi, V. M., Fortea, C., & Stefanescu, C. A. (2025). Deep learning based approach for Behavior classification in diagnoses of Autism Spectrum Disorder using naturalistic videos. Frontiers in Computational Neuroscience, 20, Article 1626315. https://doi.org/10.3389/fncom.2026.1626315",
local_5f57ba19,Explainable Children Autism Detection using Gaze Features in Audio-Visual Speech Comprehension,2026,,10.1145/3806026,78aaaa01db9583a6cecf6a7a19f6ea0795653990c916a5cdda4c0e7dda59918d,1pv7TVpDatYlOEQxL1EXdMCXCcFQ6_q62,"Zaragozá-Portolés, M., Gimeno-Gomez, D., Ávila, V., Fajardo, D. I., Ferrer, D. A., Gomez-Merino, N., Skrobiszewska, N., & Martínez-Hinarejos, C. D. (2026). Explainable Children Autism Detection using Gaze Features in Audio-Visual Speech Comprehension. Proceedings of the ACM on Human-Computer Interaction, 10(3), 1-18. https://doi.org/10.1145/3806026",
local_1d856900,"Explainable Ensemble Learning Framework for Early Detection of Autism Spectrum Disorder: Enhancing Trust, Interpretability and Reliability in AI-Driven Healthcare",2026,,10.32604/cmes.2025.074627,76e324545c301efc6e761fb94fa342fac2b4d46ddddadf67fd1a69a06d5987fa,1RCr2tFm2QuDrXjLZQorx5uYrXBuT_7Jk,"Alshammeri, M., Tariq, N., Jhanji, N. Z., Humayun, M., & Khan, M. A. (2026). Explainable Ensemble Learning Framework for Early Detection of Autism Spectrum Disorder: Enhancing Trust, Interpretability and Reliability in AI-Driven Healthcare. Computer Modeling in Engineering & Sciences, 146(1), 1-10. https://doi.org/10.32604/cmes.2025.074627",
local_7b19a959,Finding the forest in the trees: Using machine learning and online cognitive and perceptual measures to predict adult autism diagnosis,2026,,10.1038/s41398-026-03823-y,af2f30d93f2dbffe47ff9ddb04f12ab02adf0596bd204f04221e0e8619ca033e,1kCEiOEeMqwlGOYrdhfBDfeRjYRNWl104,"Van der Burg, E., Jertberg, R. M., Geurts, H. M., Chakrabarti, B., & Begeer, S. (2026). Finding the forest in the trees: Using machine learning and online cognitive and perceptual measures to predict adult autism diagnosis. Translational Psychiatry, 16(1), Article 129. https://doi.org/10.1038/s41398-026-03823-y",
local_d7b6fa00,Hybrid ensemble learning for Autism Spectrum Disorder screening using eye-tracking scanpath,2026,,10.1016/j.array.2026.100753,6220bd7c39f67d99a84f433b8d50a29919e7d5426b8d0e90b89ea2e635e6f405,1ojDqc0R8MZTOhF-s8XqXXKm5WUxFon_o,"Alagha, N., Elkhodiry, A. A., Copiaco, A., Himeur, Y., Mansoor, W., Ritz, C., Eapen, V., Albanna, A., & Beheshti, A. (2026). Hybrid ensemble learning for Autism Spectrum Disorder screening using eye-tracking scanpath. Array, 30, Article 100753. https://doi.org/10.1016/j.array.2026.100753",doi_corrected
local_e54c304c,Early Detection of Autism Spectrum Disorder in Children Using Facial Images and AI-Based Deep Learning Models,2026,"Journal of Pioneering Medical Sciences, 15(01), 137-145",10.47310/jpms2026150119,8c98577c6ee93df07a9a6b961b6aaf5987cf823523acf70d588377b1d0410c5c,1ppFgFRji7oB6dxon6iTuFiC_-v3A_i-Y,"Vasundhara, D. .. N., Lakshmi Prasanna, P., Moorthy, C., & Venkata Sailaja, N. (2026). Early Detection of Autism Spectrum Disorder in Children Using Facial Images and AI-Based Deep Learning Models. Journal of Pioneering Medical Sciences, 15(01), 137-145. https://doi.org/10.47310/jpms2026150119",title_repaired+journal_repaired
local_e4c2a776,Multimodal fusion of deep transfer learning with wavelet neural network for autism spectrum disorder detection using facial images,2026,"Multimedia Tools and Applications, 85(4), Article 300",10.1007/s11042-026-21473-6,952a0e6c19c5717e464cff88547b456766a1527f84f4f944d8a3f74f1688b513,1szqZbUED8npVZFTVdP6l6_Ec-bo9uQoN,"Shaik, J., Shekhar, R., & Shelke, C. J. (2026). Multimodal fusion of deep transfer learning with wavelet neural network for autism spectrum disorder detection using facial images. Multimedia Tools and Applications, 85(4), Article 300. https://doi.org/10.1007/s11042-026-21473-6",title_repaired+journal_repaired
local_231757c7,SHAP-based explainable AI framework for autism severity classification using 3D motor biomarkers,2026,"Frontiers in Psychiatry, 17, Article 1751654",10.3389/fpsyt.2026.1751654,1f0906733b32e8cac9803146801264c747e631f48092313eeabe2ebc56db8618,1mM2CRXBhYQroqntMVLU17wSi2bBy9Adx,"Fırat, Y. (2026). SHAP-based explainable AI framework for autism severity classification using 3D motor biomarkers. Frontiers in Psychiatry, 17, Article 1751654. https://doi.org/10.3389/fpsyt.2026.1751654",
local_1b457442,Screening autism spectrum,2026,"Scientific Reports, 15(1), Article 34134",10.1038/s41598-025-01500-6,885121ec9c79b63cbb451abc270217d9217c938322f51492fa629440d281adb7,19Zf18nTOUU4USrKl23_sRnXB4bkoSz2p,"Assaf, R., Shehabeddine, Z., & Ramesh, V. (2026). Screening autism spectrum disorder in children using machine learning on speech transcripts. Scientific Reports, 15(1), Article 34134. https://doi.org/10.1038/s41598-025-01500-6",doi_filled
local_b26db2f2,Towards screening of children students with autism spectrum disorder based on executive functions with serious game and machine learning approaches,2026,,10.1016/j.eswa.2025.128884,ac4d9c0d0181c9c61902314c0276f376b533c2e13efd294e2fdfab810238ebe6,1-NtjlxMLMkRFxxxJqiXotvHM8Gp4pB16,"Martins, S. R. A. L., Souza, F. A. D., Teixeira, L. C., Leal, B. R. A., Silva, D. M. P. F., & Silva, C. M. R. D. (2026). Towards screening of children students with autism spectrum disorder based on executive functions with serious game and machine learning approaches. Expert Systems with Applications, 295, Article 128884. https://doi.org/10.1016/j.eswa.2025.128884",doi_filled
